#SampleID	BarcodeSequence	LinkerPrimerSequence	SP	family_or_tribe	type	Code	Main_Diet	Diet_Category	Location	Basin	Heb	Lat	Lon	Date	Time	T	Conductivity  	ConductivityA	Salinity	PercentO	pH	Sampling site
AS232	AA	AA	Capoeta damascina	Cyprinidae	swab	Capoeta	aufwuchs	C	HuliotSnirXJordan	N	ירדן_חוליות_מפגש_נחלים	788343	258152	2/11/2017	09:25	17.5	334	287	0.16	10.06		J.2
AS233	AA	AA	Capoeta damascina	Cyprinidae	swab	Capoeta	aufwuchs	C	HuliotSnirXJordan	N	ירדן_חוליות_מפגש_נחלים	788343	258152	2/11/2017	09:25	17.5	334	287	0.16	10.06		J.2
AS234	AA	AA	Capoeta damascina	Cyprinidae	swab	Capoeta	aufwuchs	C	HuliotSnirXJordan	N	ירדן_חוליות_מפגש_נחלים	788343	258152	2/11/2017	09:25	17.5	334	287	0.16	10.06		J.2
AS235	AA	AA	Capoeta damascina	Cyprinidae	swab	Capoeta	aufwuchs	C	HuliotSnirXJordan	N	ירדן_חוליות_מפגש_נחלים	788343	258152	2/11/2017	09:25	17.5	334	287	0.16	10.06		J.2
AS236	AA	AA	Capoeta damascina	Cyprinidae	swab	Capoeta	aufwuchs	C	HuliotSnirXJordan	N	ירדן_חוליות_מפגש_נחלים	788343	258152	2/11/2017	09:25	17.5	334	287	0.16	10.06		J.2
AS208	AA	AA	Garra nana	Cyprinidae	swab	Garra nana	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	781029	255760	2/11/2017	18:00	19.86	322	290	0.15	9.4		J.4
AS127	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	InsideKtzinim	N	בריכת_קצינים	264623	794573	31/8/2017	12:38	17.2	441	376	0.21			H.1
AS154	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS155	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS156	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
